Nouvelle acquisition du 22/11/2018 19:29:20
Date;Montée (s);Palier (s);Temp (°C);Negative_Reference_Load_Limit;Positive_Reference_Load_Limit;Load;JT1A;JT2A;JT1B;NA
9:7:19:27;0;3600;25;-0,00;0,00;0,00;5006,25319;4999,09795;5009,7374;5004,51395;
9:7:20:44;0;3600;25;-0,00;0,00;0,00;5006,25055;4999,08448;5009,74744;5004,51251;
9:7:21:61;0;3600;25;-0,00;0,00;0,00;5006,25352;4999,08674;5009,74489;5004,51061;
9:7:22:62;0;3600;25;-0,00;0,00;0,00;5006,24663;4999,09091;5009,74469;5004,51407;
9:7:23:80;0;3600;25;-0,00;0,00;0,00;5006,24447;4999,08632;5009,74918;5004,51702;
9:7:24:96;0;3600;25;-0,00;0,00;0,00;5006,23429;4999,08531;5009,74951;5004,51286;
9:7:25:99;0;3600;25;-0,00;0,00;0,00;5006,24242;4999,08674;5009,74705;5004,51164;
9:7:26:134;0;3600;25;-0,00;0,00;0,00;5006,24702;4999,07651;5009,74634;5004,51287;
9:7:27:133;0;3600;25;-0,00;0,00;0,00;5006,25539;4999,08597;5009,74532;5004,51378;
9:7:28:169;0;3600;25;-0,00;0,00;0,00;5006,2498;4999,08181;5009,74684;5004,51551;
9:7:29:183;0;3600;25;-0,00;0,00;0,00;5006,24327;4999,09092;5009,74789;5004,51226;
9:7:30:185;0;3600;25;-0,00;0,00;0,00;5006,25604;4999,09034;5009,74541;5004,5151;
9:7:31:188;0;3600;25;-0,00;0,00;0,00;5006,25533;4999,08329;5009,74357;5004,51527;
9:7:32:203;0;3600;25;-0,00;0,00;0,00;5006,25373;4999,084;5009,73916;5004,52091;
9:7:33:236;0;3600;25;-0,00;0,00;0,00;5006,25077;4999,06944;5009,75319;5004,52094;
9:7:34:253;0;3600;25;-0,00;0,00;0,00;5006,24615;4999,08869;5009,74469;5004,51167;
9:7:35:239;0;3600;25;-0,00;0,00;0,00;5006,24941;4999,074;5009,74776;5004,50482;
9:7:36:257;0;3600;25;-0,00;0,00;0,00;5006,2431;4999,08135;5009,74549;5004,51418;
9:7:37:291;0;3600;25;-0,00;0,00;0,00;5006,25163;4999,07471;5009,74951;5004,51056;
9:7:38:307;0;3600;25;-0,00;0,00;0,00;5006,25419;4999,08399;5009,74564;5004,51148;
9:7:39:324;0;3600;25;-0,00;0,00;0,00;5006,25457;4999,09072;5009,74494;5004,51479;
9:7:40:309;0;3600;25;-0,00;0,00;0,00;5006,24674;4999,08895;5009,7402;5004,51083;
9:7:41:327;0;3600;25;-0,00;0,00;0,00;5006,25362;4999,08658;5009,74053;5004,50735;
9:7:42:360;0;3600;25;-0,00;0,00;0,00;5006,25142;4999,07677;5009,74481;5004,50919;
9:7:43:361;0;3600;25;-0,00;0,00;0,00;5006,24476;4999,08336;5009,73712;5004,50898;
9:7:44:394;0;3600;25;-0,00;0,00;0,00;5006,25252;4999,07917;5009,74175;5004,51243;
9:7:45:364;0;3600;25;-0,00;0,00;0,00;5006,25073;4999,07642;5009,73978;5004,51422;
9:7:46:382;0;3600;25;-0,00;0,00;0,00;5006,24612;4999,08157;5009,74181;5004,51472;
9:7:47:430;0;3600;25;-0,00;0,00;0,00;5006,24696;4999,0745;5009,74509;5004,51641;
9:7:48:434;0;3600;25;-0,00;0,00;0,00;5006,24651;4999,08483;5009,74977;5004,51265;
9:7:49:451;0;3600;25;-0,00;0,00;0,00;5006,2407;4999,0828;5009,74933;5004,51856;
9:7:50:451;0;3600;25;-0,00;0,00;0,00;5006,25087;4999,09058;5009,75067;5004,51498;
9:7:51:467;0;3600;25;-0,00;0,00;0,00;5006,24917;4999,09261;5009,75342;5004,51181;
9:7:52:500;0;3600;25;-0,00;0,00;0,00;5006,25848;4999,08507;5009,74639;5004,51457;
9:7:53:502;0;3600;25;-0,00;0,00;0,00;5006,24449;4999,08604;5009,7468;5004,51798;
9:7:54:520;0;3600;25;-0,00;0,00;0,00;5006,24483;4999,08461;5009,75047;5004,51651;
9:7:55:521;0;3600;25;-0,00;0,00;0,00;5006,24885;4999,09296;5009,75217;5004,51753;
9:7:56:538;0;3600;25;-0,00;0,00;0,00;5006,25273;4999,10883;5009,75367;5004,51265;
9:7:57:554;0;3600;25;-0,00;0,00;0,00;5006,24882;4999,0923;5009,75777;5004,5126;
9:7:58:573;0;3600;25;-0,00;0,00;0,00;5006,24905;4999,08908;5009,75437;5004,50719;
9:7:59:573;0;3600;25;-0,00;0,00;0,00;5006,24082;4999,07709;5009,75114;5004,51087;
9:8:0:574;0;3600;25;-0,00;0,00;0,00;5006,2516;4999,09062;5009,75351;5004,51423;
9:8:1:592;0;3600;25;-0,00;0,00;0,00;5006,24841;4999,08112;5009,74943;5004,51148;
9:8:2:625;0;3600;25;-0,00;0,00;0,00;5006,23982;4999,07844;5009,74874;5004,51421;
9:8:3:642;0;3600;25;-0,00;0,00;0,00;5006,24891;4999,07876;5009,74784;5004,51145;
9:8:4:660;0;3600;25;-0,00;0,00;0,00;5006,25582;4999,08899;5009,7466;5004,50748;
9:8:5:663;0;3600;25;-0,00;0,00;0,00;5006,24965;4999,08554;5009,74785;5004,51063;
9:8:6:680;0;3600;25;-0,00;0,00;0,00;5006,25181;4999,07796;5009,75045;5004,51516;
9:8:7:711;0;3600;25;-0,00;0,00;0,00;5006,25095;4999,08167;5009,74717;5004,51517;
9:8:8:713;0;3600;25;-0,00;0,00;0,00;5006,24388;4999,09037;5009,74869;5004,51069;
9:8:9:699;0;3600;25;-0,00;0,00;0,00;5006,24575;4999,08781;5009,74621;5004,51631;
9:8:10:732;0;3600;25;-0,00;0,00;0,00;5006,24643;4999,09332;5009,75272;5004,50857;
9:8:11:749;0;3600;25;-0,00;0,00;0,00;5006,24456;4999,08245;5009,7486;5004,5063;
9:8:12:766;0;3600;25;-0,00;0,00;0,00;5006,24798;4999,09086;5009,75331;5004,5109;
9:8:13:766;0;3600;25;-0,00;0,00;0,00;5006,24308;4999,07624;5009,74646;5004,50619;
9:8:14:801;0;3600;25;-0,00;0,00;0,00;5006,24926;4999,08342;5009,74639;5004,51058;
9:8:15:817;0;3600;25;-0,00;0,00;0,00;5006,23352;4999,0805;5009,74639;5004,51783;
9:8:16:819;0;3600;25;-0,00;0,00;0,00;5006,24442;4999,07116;5009,74723;5004,51176;
9:8:17:849;0;3600;25;-0,00;0,00;0,00;5006,25365;4999,07387;5009,74687;5004,51258;
9:8:18:871;0;3600;25;-0,00;0,00;0,00;5006,25645;4999,08352;5009,74596;5004,51563;
9:8:19:858;0;3600;25;-0,00;0,00;0,00;5006,24215;4999,07687;5009,74721;5004,50922;
9:8:20:857;0;3600;25;-0,00;0,00;0,00;5006,24068;4999,08692;5009,74598;5004,51685;
9:8:21:890;0;3600;25;-0,00;0,00;0,00;5006,24483;4999,09238;5009,75114;5004,51241;
9:8:22:922;0;3600;25;-0,00;0,00;0,00;5006,24496;4999,09942;5009,7496;5004,51027;
9:8:23:908;0;3600;25;-0,00;0,00;0,00;5006,24336;4999,08631;5009,75172;5004,5148;
9:8:24:942;0;3600;25;-0,00;0,00;0,00;5006,24187;4999,08387;5009,74832;5004,51561;
9:8:25:943;0;3600;25;-0,00;0,00;0,00;5006,24683;4999,08413;5009,74651;5004,51216;
9:8:26:948;0;3600;25;-0,00;0,00;0,00;5006,24722;4999,09253;5009,74518;5004,51786;
9:8:27:977;0;3600;25;-0,00;0,00;0,00;5006,23999;4999,0815;5009,74802;5004,51888;
9:8:28:980;0;3600;25;-0,00;0,00;0,00;5006,24589;4999,08197;5009,75162;5004,51824;
9:8:30:12;0;3600;25;-0,00;0,00;0,00;5006,2428;4999,07958;5009,74805;5004,51763;
9:8:31:50;0;3600;25;-0,00;0,00;0,00;5006,26373;4999,08426;5009,74981;5004,51141;
9:8:32:30;0;3600;25;-0,00;0,00;0,00;5006,24908;4999,08279;5009,75329;5004,51346;
9:8:33:48;0;3600;25;-0,00;0,00;0,00;5006,25104;4999,06496;5009,75155;5004,50891;
9:8:34:49;0;3600;25;-0,00;0,00;0,00;5006,25513;4999,07226;5009,74707;5004,50706;
9:8:35:84;0;3600;25;-0,00;0,00;0,00;5006,24939;4999,0838;5009,74686;5004,5091;
9:8:36:100;0;3600;25;-0,00;0,00;0,00;5006,25824;4999,07777;5009,74932;5004,51074;
9:8:37:85;0;3600;25;-0,00;0,00;0,00;5006,25158;4999,0828;5009,74821;5004,51153;
9:8:38:103;0;3600;25;-0,00;0,00;0,00;5006,25325;4999,08992;5009,74379;5004,51325;
9:8:39:136;0;3600;25;-0,00;0,00;0,00;5006,24732;4999,09576;5009,74471;5004,51269;
9:8:40:137;0;3600;25;-0,00;0,00;0,00;5006,2509;4999,08566;5009,74226;5004,51504;
9:8:41:169;0;3600;25;-0,00;0,00;0,00;5006,25729;4999,09296;5009,74256;5004,51843;
9:8:42:172;0;3600;25;-0,00;0,00;0,00;5006,25086;4999,08771;5009,73937;5004,51485;
9:8:43:204;0;3600;25;-0,00;0,00;0,00;5006,25618;4999,08861;5009,74074;5004,51273;
9:8:44:190;0;3600;25;-0,00;0,00;0,00;5006,24875;4999,07908;5009,75014;5004,51746;
9:8:45:222;0;3600;25;-0,00;0,00;0,00;5006,25203;4999,08935;5009,74588;5004,51205;
9:8:46:242;0;3600;25;-0,00;0,00;0,00;5006,24854;4999,08784;5009,74175;5004,51177;
9:8:47:227;0;3600;25;-0,00;0,00;0,00;5006,25896;4999,08566;5009,74883;5004,50505;
9:8:48:261;0;3600;25;-0,00;0,00;0,00;5006,24741;4999,07482;5009,74328;5004,50934;
9:8:49:244;0;3600;25;-0,00;0,00;0,00;5006,24578;4999,07967;5009,74952;5004,5089;
9:8:50:276;0;3600;25;-0,00;0,00;0,00;5006,24302;4999,0947;5009,74319;5004,51659;
9:8:51:309;0;3600;25;-0,00;0,00;0,00;5006,24288;4999,086;5009,75147;5004,51567;
9:8:52:312;0;3600;25;-0,00;0,00;0,00;5006,24056;4999,08157;5009,75136;5004,51263;
9:8:53:313;0;3600;25;-0,00;0,00;0,00;5006,25091;4999,08064;5009,7486;5004,51389;
9:8:54:346;0;3600;25;-0,00;0,00;0,00;5006,23728;4999,07329;5009,74801;5004,5121;
9:8:55:380;0;3600;25;-0,00;0,00;0,00;5006,24086;4999,06708;5009,7433;5004,51054;
9:8:56:364;0;3600;25;-0,00;0,00;0,00;5006,2469;4999,07393;5009,74606;5004,51215;
9:8:57:398;0;3600;25;-0,00;0,00;0,00;5006,25584;4999,07266;5009,74542;5004,51516;
9:8:58:384;0;3600;25;-0,00;0,00;0,00;5006,2444;4999,07828;5009,73919;5004,5174;
9:8:59:401;0;3600;25;-0,00;0,00;0,00;5006,24746;4999,07104;5009,74153;5004,50873;
9:9:0:434;0;3600;25;-0,00;0,00;0,00;5006,25552;4999,08692;5009,74165;5004,51069;
9:9:1:467;0;3600;25;-0,00;0,00;0,00;5006,25426;4999,07792;5009,74463;5004,51013;
9:9:2:453;0;3600;25;-0,00;0,00;0,00;5006,25509;4999,09393;5009,74576;5004,50385;
9:9:3:470;0;3600;25;-0,00;0,00;0,00;5006,24573;4999,07686;5009,74189;5004,50812;
9:9:4:503;0;3600;25;-0,00;0,00;0,00;5006,25126;4999,07337;5009,74546;5004,51299;
9:9:5:505;0;3600;25;-0,00;0,00;0,00;5006,25064;4999,08042;5009,74625;5004,51207;
9:9:6:554;0;3600;25;-0,00;0,00;0,00;5006,25738;4999,09375;5009,744;5004,51116;
9:9:7:541;0;3600;25;-0,00;0,00;0,00;5006,2449;4999,08221;5009,74931;5004,51169;
9:9:8:540;0;3600;25;-0,00;0,00;0,00;5006,25356;4999,09187;5009,75065;5004,51172;
9:9:9:542;0;3600;25;-0,00;0,00;0,00;5006,25061;4999,07818;5009,74799;5004,51079;
9:9:10:575;0;3600;25;-0,00;0,00;0,00;5006,24819;4999,0747;5009,75247;5004,51375;
9:9:11:591;0;3600;25;-0,00;0,00;0,00;5006,2569;4999,07469;5009,74354;5004,51138;
9:9:12:597;0;3600;25;-0,00;0,00;0,00;5006,2507;4999,09453;5009,74396;5004,51227;
9:9:13:593;0;3600;25;-0,00;0,00;0,00;5006,2579;4999,09421;5009,75187;5004,50809;
9:9:14:628;0;3600;25;-0,00;0,00;0,00;5006,24968;4999,09423;5009,75002;5004,50556;
9:9:15:645;0;3600;25;-0,00;0,00;0,00;5006,24595;4999,08542;5009,75009;5004,50723;
9:9:16:678;0;3600;25;-0,00;0,00;0,00;5006,24482;4999,08774;5009,75161;5004,49674;
9:9:17:665;0;3600;25;-0,00;0,00;0,00;5006,25219;4999,07886;5009,75261;5004,50153;
9:9:18:696;0;3600;25;-0,00;0,00;0,00;5006,25128;4999,08367;5009,7521;5004,50522;
9:9:19:698;0;3600;25;-0,00;0,00;0,00;5006,25084;4999,08583;5009,75101;5004,50453;
9:9:20:731;0;3600;25;-0,00;0,00;0,00;5006,2512;4999,08247;5009,75297;5004,51248;
9:9:21:720;0;3600;25;-0,00;0,00;0,00;5006,25486;4999,0833;5009,74848;5004,5093;
9:9:22:734;0;3600;25;-0,00;0,00;0,00;5006,23983;4999,08808;5009,74706;5004,51314;
9:9:23:735;0;3600;25;-0,00;0,00;0,00;5006,24177;4999,09137;5009,74451;5004,51307;
9:9:24:785;0;3600;25;-0,00;0,00;0,00;5006,24453;4999,09751;5009,74554;5004,51369;
9:9:25:787;0;3600;25;-0,00;0,00;0,00;5006,24783;4999,08738;5009,74286;5004,51308;
9:9:26:804;0;3600;25;-0,00;0,00;0,00;5006,26383;4999,08852;5009,73795;5004,51013;
9:9:27:790;0;3600;25;-0,00;0,00;0,00;5006,25466;4999,07585;5009,74316;5004,50797;
9:9:28:822;0;3600;25;-0,00;0,00;0,00;5006,25509;4999,09222;5009,74377;5004,5043;
9:9:29:855;0;3600;25;-0,00;0,00;0,00;5006,25041;4999,0898;5009,74713;5004,50856;
9:9:30:872;0;3600;25;-0,00;0,00;0,00;5006,2497;4999,07914;5009,74652;5004,51205;
9:9:31:873;0;3600;25;-0,00;0,00;0,00;5006,26402;4999,08913;5009,74766;5004,5141;
9:9:32:891;0;3600;25;-0,00;0,00;0,00;5006,25121;4999,0923;5009,7421;5004,51072;
9:9:33:892;0;3600;25;-0,00;0,00;0,00;5006,25163;4999,07358;5009,73854;5004,51426;
9:9:34:927;0;3600;25;-0,00;0,00;0,00;5006,24954;4999,07738;5009,7412;5004,51693;
9:9:35:895;0;3600;25;-0,00;0,00;0,00;5006,2457;4999,08996;5009,74181;5004,51231;
9:9:36:944;0;3600;25;-0,00;0,00;0,00;5006,24629;4999,0863;5009,74845;5004,52017;
9:9:37:961;0;3600;25;-0,00;0,00;0,00;5006,24017;4999,07554;5009,75154;5004,5128;
9:9:38:962;0;3600;25;-0,00;0,00;0,00;5006,25121;4999,07691;5009,7502;5004,51415;
9:9:39:979;0;3600;25;-0,00;0,00;0,00;5006,25031;4999,07458;5009,75306;5004,51505;
9:9:40:980;0;3600;25;-0,00;0,00;0,00;5006,24954;4999,06885;5009,74571;5004,52169;
9:9:42:14;0;3600;25;-0,00;0,00;0,00;5006,25008;4999,0841;5009,74583;5004,51782;
9:9:43:31;0;3600;25;-0,00;0,00;0,00;5006,24376;4999,07821;5009,74809;5004,51525;
9:9:44:48;0;3600;25;-0,00;0,00;0,00;5006,25351;4999,07996;5009,74749;5004,51077;
9:9:45:36;0;3600;25;-0,00;0,00;0,00;5006,24589;4999,08381;5009,7436;5004,51376;
9:9:46:51;0;3600;25;-0,00;0,00;0,00;5006,24675;4999,0916;5009,74953;5004,50937;
9:9:47:86;0;3600;25;-0,00;0,00;0,00;5006,2534;4999,0746;5009,74659;5004,50947;
9:9:48:86;0;3600;25;-0,00;0,00;0,00;5006,25728;4999,08057;5009,74659;5004,51782;
9:9:49:119;0;3600;25;-0,00;0,00;0,00;5006,25112;4999,08489;5009,74578;5004,51907;
9:9:50:135;0;3600;25;-0,00;0,00;0,00;5006,25921;4999,08877;5009,74342;5004,51891;
9:9:51:138;0;3600;25;-0,00;0,00;0,00;5006,23465;4999,08697;5009,74689;5004,5148;
9:9:52:155;0;3600;25;-0,00;0,00;0,00;5006,24441;4999,08161;5009,74718;5004,5036;
9:9:53:172;0;3600;25;-0,00;0,00;0,00;5006,23996;4999,09082;5009,74124;5004,50938;
9:9:54:189;0;3600;25;-0,00;0,00;0,00;5006,24933;4999,08961;5009,73778;5004,50995;
9:9:55:190;0;3600;25;-0,00;0,00;0,00;5006,24942;4999,0786;5009,74301;5004,51435;
9:9:56:209;0;3600;25;-0,00;0,00;0,00;5006,25413;4999,09279;5009,7421;5004,51271;
9:9:57:241;0;3600;25;-0,00;0,00;0,00;5006,2459;4999,07582;5009,74535;5004,51182;
9:9:58:243;0;3600;25;-0,00;0,00;0,00;5006,24511;4999,07345;5009,74524;5004,5101;
9:9:59:260;0;3600;25;-0,00;0,00;0,00;5006,24117;4999,08815;5009,74757;5004,50699;
9:10:0:260;0;3600;25;-0,00;0,00;0,00;5006,25241;4999,08733;5009,74409;5004,51035;
9:10:1:278;0;3600;25;-0,00;0,00;0,00;5006,24452;4999,09355;5009,74286;5004,51799;
9:10:2:280;0;3600;25;-0,00;0,00;0,00;5006,24081;4999,09313;5009,74898;5004,51647;
9:10:3:312;0;3600;25;-0,00;0,00;0,00;5006,25764;4999,0784;5009,74458;5004,51782;
9:10:4:329;0;3600;25;-0,00;0,00;0,00;5006,23437;4999,07858;5009,74149;5004,51397;
9:10:5:331;0;3600;25;-0,00;0,00;0,00;5006,24858;4999,07739;5009,73464;5004,51388;
9:10:6:349;0;3600;25;-0,00;0,00;0,00;5006,24997;4999,08042;5009,73818;5004,50851;
9:10:7:366;0;3600;25;-0,00;0,00;0,00;5006,25123;4999,09802;5009,74279;5004,51116;
9:10:8:383;0;3600;25;-0,00;0,00;0,00;5006,24992;4999,09358;5009,74043;5004,50923;
9:10:9:399;0;3600;25;-0,00;0,00;0,00;5006,24715;4999,07946;5009,74217;5004,51217;
9:10:10:401;0;3600;25;-0,00;0,00;0,00;5006,24768;4999,08131;5009,74452;5004,50367;
9:10:11:419;0;3600;25;-0,00;0,00;0,00;5006,23956;4999,09745;5009,74206;5004,50001;
9:10:12:420;0;3600;25;-0,00;0,00;0,00;5006,25235;4999,07994;5009,74411;5004,50183;
9:10:13:437;0;3600;25;-0,00;0,00;0,00;5006,2459;4999,08192;5009,749;5004,50101;
9:10:14:457;0;3600;25;-0,00;0,00;0,00;5006,24369;4999,0856;5009,74777;5004,50447;
9:10:15:488;0;3600;25;-0,00;0,00;0,00;5006,24252;4999,08367;5009,74675;5004,50731;
9:10:16:474;0;3600;25;-0,00;0,00;0,00;5006,24907;4999,0857;5009,74346;5004,51598;
9:10:17:490;0;3600;25;-0,00;0,00;0,00;5006,24223;4999,09235;5009,7348;5004,51286;
9:10:18:508;0;3600;25;-0,00;0,00;0,00;5006,25599;4999,07715;5009,74605;5004,51416;
9:10:19:509;0;3600;25;-0,00;0,00;0,00;5006,23821;4999,08793;5009,74403;5004,51451;
9:10:20:527;0;3600;25;-0,00;0,00;0,00;5006,25498;4999,08019;5009,74461;5004,51154;
9:10:21:562;0;3600;25;-0,00;0,00;0,00;5006,24038;4999,08094;5009,75298;5004,50685;
9:10:22:577;0;3600;25;-0,00;0,00;0,00;5006,25441;4999,09428;5009,74969;5004,5051;
9:10:23:564;0;3600;25;-0,00;0,00;0,00;5006,25245;4999,09274;5009,75049;5004,50846;
9:10:24:581;0;3600;25;-0,00;0,00;0,00;5006,25049;4999,08952;5009,74686;5004,51801;
9:10:25:597;0;3600;25;-0,00;0,00;0,00;5006,2496;4999,08781;5009,74471;5004,51127;
9:10:26:599;0;3600;25;-0,00;0,00;0,00;5006,25247;4999,06814;5009,74296;5004,51366;
9:10:27:632;0;3600;25;-0,00;0,00;0,00;5006,24978;4999,08923;5009,74463;5004,50476;
9:10:28:649;0;3600;25;-0,00;0,00;0,00;5006,2519;4999,07911;5009,74787;5004,5009;
9:10:29:668;0;3600;25;-0,00;0,00;0,00;5006,23963;4999,08328;5009,74907;5004,49902;
9:10:30:684;0;3600;25;-0,00;0,00;0,00;5006,25486;4999,08121;5009,7451;5004,50523;
9:10:31:699;0;3600;25;-0,00;0,00;0,00;5006,23815;4999,08213;5009,74568;5004,5138;
9:10:32:733;0;3600;25;-0,00;0,00;0,00;5006,24211;4999,0825;5009,74864;5004,51624;
9:10:33:719;0;3600;25;-0,00;0,00;0,00;5006,24554;4999,08554;5009,75189;5004,51003;
9:10:34:738;0;3600;25;-0,00;0,00;0,00;5006,25326;4999,0905;5009,74311;5004,51329;
9:10:35:706;0;3600;25;-0,00;0,00;0,00;5006,24225;4999,08066;5009,74282;5004,49801;
9:10:36:771;0;3600;25;-0,00;0,00;0,00;5006,25543;4999,08527;5009,74007;5004,50984;
9:10:37:787;0;3600;25;-0,00;0,00;0,00;5006,24555;4999,08681;5009,74334;5004,51118;
9:10:38:790;0;3600;25;-0,00;0,00;0,00;5006,24601;4999,08243;5009,74315;5004,51609;
9:10:39:791;0;3600;25;-0,00;0,00;0,00;5006,25114;4999,08991;5009,75533;5004,51434;
9:10:40:791;0;3600;25;-0,00;0,00;0,00;5006,25737;4999,07852;5009,75565;5004,50975;
9:10:41:841;0;3600;25;-0,00;0,00;0,00;5006,26204;4999,09426;5009,74491;5004,51773;
9:10:42:858;0;3600;25;-0,00;0,00;0,00;5006,2583;4999,07933;5009,74552;5004,51539;
9:10:43:844;0;3600;25;-0,00;0,00;0,00;5006,25171;4999,0781;5009,74921;5004,5078;
9:10:44:878;0;3600;25;-0,00;0,00;0,00;5006,25886;4999,08854;5009,74567;5004,51054;
9:10:45:897;0;3600;25;-0,00;0,00;0,00;5006,24983;4999,08492;5009,73982;5004,50032;
9:10:46:912;0;3600;25;-0,00;0,00;0,00;5006,2504;4999,08655;5009,73836;5004,51295;
9:10:47:912;0;3600;25;-0,00;0,00;0,00;5006,24565;4999,09392;5009,73781;5004,5098;
9:10:48:931;0;3600;25;-0,00;0,00;0,00;5006,24805;4999,07358;5009,75243;5004,51049;
9:10:49:947;0;3600;25;-0,00;0,00;0,00;5006,24753;4999,085;5009,73923;5004,51509;
9:10:50:933;0;3600;25;-0,00;0,00;0,00;5006,25179;4999,08951;5009,74231;5004,51173;
9:10:51:965;0;3600;25;-0,00;0,00;0,00;5006,25529;4999,0944;5009,73719;5004,51172;
9:10:52:983;0;3600;25;-0,00;0,00;0,00;5006,25312;4999,08387;5009,73934;5004,51555;
9:10:53:968;0;3600;25;-0,00;0,00;0,00;5006,25725;4999,09636;5009,7444;5004,50433;
9:10:55:3;0;3600;25;-0,00;0,00;0,00;5006,25257;4999,08093;5009,74625;5004,49944;
9:10:56:20;0;3600;25;-0,00;0,00;0,00;5006,2481;4999,08248;5009,74685;5004,49463;
9:10:57:38;0;3600;25;-0,00;0,00;0,00;5006,252;4999,08752;5009,75292;5004,50258;
9:10:58:54;0;3600;25;-0,00;0,00;0,00;5006,25784;4999,08395;5009,74474;5004,5032;
9:10:59:71;0;3600;25;-0,00;0,00;0,00;5006,23835;4999,08979;5009,7413;5004,50857;
9:11:0:73;0;3600;25;-0,00;0,00;0,00;5006,2501;4999,08354;5009,74233;5004,51102;
9:11:1:108;0;3600;25;-0,00;0,00;0,00;5006,26541;4999,08807;5009,74182;5004,50784;
9:11:2:107;0;3600;25;-0,00;0,00;0,00;5006,24303;4999,08581;5009,74304;5004,50693;
9:11:3:124;0;3600;25;-0,00;0,00;0,00;5006,24641;4999,08841;5009,74478;5004,50573;
9:11:4:141;0;3600;25;-0,00;0,00;0,00;5006,25372;4999,07277;5009,73804;5004,50523;
9:11:5:159;0;3600;25;-0,00;0,00;0,00;5006,24459;4999,07531;5009,74021;5004,51371;
9:11:6:161;0;3600;25;-0,00;0,00;0,00;5006,24344;4999,07186;5009,73898;5004,51163;
9:11:7:177;0;3600;25;-0,00;0,00;0,00;5006,24603;4999,08001;5009,74091;5004,50815;
9:11:8:195;0;3600;25;-0,00;0,00;0,00;5006,25364;4999,06948;5009,74573;5004,50965;
9:11:9:195;0;3600;25;-0,00;0,00;0,00;5006,2371;4999,07473;5009,74563;5004,51066;
9:11:10:213;0;3600;25;-0,00;0,00;0,00;5006,24026;4999,07251;5009,75012;5004,51026;
9:11:11:246;0;3600;25;-0,00;0,00;0,00;5006,24743;4999,07884;5009,75012;5004,50763;
9:11:12:247;0;3600;25;-0,00;0,00;0,00;5006,246;4999,08604;5009,74857;5004,50306;
9:11:13:265;0;3600;25;-0,00;0,00;0,00;5006,25197;4999,07969;5009,74773;5004,51451;
9:11:14:265;0;3600;25;-0,00;0,00;0,00;5006,2354;4999,07431;5009,74621;5004,50585;
9:11:15:301;0;3600;25;-0,00;0,00;0,00;5006,23764;4999,08555;5009,75338;5004,51381;
9:11:16:318;0;3600;25;-0,00;0,00;0,00;5006,24553;4999,07691;5009,74701;5004,50952;
9:11:17:302;0;3600;25;-0,00;0,00;0,00;5006,25007;4999,08352;5009,74191;5004,51173;
9:11:18:337;0;3600;25;-0,00;0,00;0,00;5006,24493;4999,09174;5009,74639;5004,51008;
9:11:19:356;0;3600;25;-0,00;0,00;0,00;5006,24821;4999,08601;5009,74949;5004,50974;
9:11:20:354;0;3600;25;-0,00;0,00;0,00;5006,24832;4999,0881;5009,74848;5004,51039;
9:11:21:371;0;3600;25;-0,00;0,00;0,00;5006,2435;4999,06715;5009,75636;5004,51276;
9:11:22:389;0;3600;25;-0,00;0,00;0,00;5006,25044;4999,08384;5009,75178;5004,51044;
9:11:23:407;0;3600;25;-0,00;0,00;0,00;5006,24789;4999,07574;5009,74193;5004,51382;
9:11:24:421;0;3600;25;-0,00;0,00;0,00;5006,25229;4999,08061;5009,74182;5004,51585;
9:11:25:441;0;3600;25;-0,00;0,00;0,00;5006,2543;4999,08021;5009,7367;5004,51566;
9:11:26:463;0;3600;25;-0,00;0,00;0,00;5006,25283;4999,08602;5009,73884;5004,5126;
9:11:27:464;0;3600;25;-0,00;0,00;0,00;5006,25117;4999,07975;5009,74714;5004,50758;
9:11:28:462;0;3600;25;-0,00;0,00;0,00;5006,23792;4999,08037;5009,7455;5004,50909;
9:11:29:478;0;3600;25;-0,00;0,00;0,00;5006,24296;4999,08373;5009,73668;5004,51242;
9:11:30:510;0;3600;25;-0,00;0,00;0,00;5006,25418;4999,09311;5009,74644;5004,51059;
9:11:31:527;0;3600;25;-0,00;0,00;0,00;5006,24442;4999,07573;5009,74437;5004,51654;
9:11:32:530;0;3600;25;-0,00;0,00;0,00;5006,24778;4999,07932;5009,74658;5004,51317;
9:11:33:548;0;3600;25;-0,00;0,00;0,00;5006,23883;4999,08157;5009,74527;5004,51141;
9:11:34:579;0;3600;25;-0,00;0,00;0,00;5006,24946;4999,08068;5009,74322;5004,51317;
9:11:35:584;0;3600;25;-0,00;0,00;0,00;5006,25873;4999,0781;5009,73575;5004,51492;
9:11:36:598;0;3600;25;-0,00;0,00;0,00;5006,24955;4999,07619;5009,74324;5004,52103;
9:11:37:582;0;3600;25;-0,00;0,00;0,00;5006,24138;4999,08282;5009,7496;5004,511;
9:11:38:617;0;3600;25;-0,00;0,00;0,00;5006,23957;4999,09128;5009,73639;5004,51581;
9:11:39:634;0;3600;25;-0,00;0,00;0,00;5006,24264;4999,08987;5009,74365;5004,51007;
9:11:40:636;0;3600;25;-0,00;0,00;0,00;5006,24097;4999,08308;5009,74641;5004,50674;
9:11:41:667;0;3600;25;-0,00;0,00;0,00;5006,25478;4999,0868;5009,74281;5004,50903;
9:11:42:671;0;3600;25;-0,00;0,00;0,00;5006,25365;4999,08282;5009,74791;5004,50921;
9:11:43:687;0;3600;25;-0,00;0,00;0,00;5006,25188;4999,08437;5009,74106;5004,50275;
