Nouvelle acquisition du 22/11/2018 19:29:20
Date;Montée (s);Palier (s);Temp (°C);Negative_Reference_Load_Limit;Positive_Reference_Load_Limit;Load;JT1A;JT2A;JT1B;NA
19:31:57:871;0;3600;25;-0,00;0,00;0,00;5005,48522;5001,3134;5007,26442;5002,96488;
19:31:58:904;0;3600;25;-0,00;0,00;0,00;5005,49155;5001,32095;5007,27106;5002,96549;
19:31:59:922;0;3600;25;-0,00;0,00;0,00;5005,48939;5001,32693;5007,26372;5002,96396;
19:32:0:938;0;3600;25;-0,00;0,00;0,00;5005,49813;5001,32416;5007,26152;5002,9637;
19:32:1:924;0;3600;25;-0,00;0,00;0,00;5005,50301;5001,32264;5007,26044;5002,96429;
19:32:2:958;0;3600;25;-0,00;0,00;0,00;5005,49324;5001,33455;5007,2552;5002,95988;
19:32:3:975;0;3600;25;-0,00;0,00;0,00;5005,49945;5001,331;5007,26225;5002,96798;
19:32:4:991;0;3600;25;-0,00;0,00;0,00;5005,49551;5001,32554;5007,2622;5002,96978;
19:32:5:996;0;3600;25;-0,00;0,00;0,00;5005,48725;5001,32511;5007,26495;5002,96101;
19:32:7:10;0;3600;25;-0,00;0,00;0,00;5005,48501;5001,32633;5007,26875;5002,96239;
19:32:8:26;0;3600;25;-0,00;0,00;0,00;5005,47342;5001,33173;5007,26263;5002,96258;
19:32:9:60;0;3600;25;-0,00;0,00;0,00;5005,47791;5001,33314;5007,26081;5002,96152;
19:32:10:61;0;3600;25;-0,00;0,00;0,00;5005,49223;5001,33479;5007,26204;5002,96056;
19:32:11:79;0;3600;25;-0,00;0,00;0,00;5005,48453;5001,31822;5007,26052;5002,95473;
19:32:12:66;0;3600;25;-0,00;0,00;0,00;5005,48476;5001,32985;5007,26347;5002,95015;
19:32:13:98;0;3600;25;-0,00;0,00;0,00;5005,493;5001,32703;5007,26041;5002,95702;
19:32:14:116;0;3600;25;-0,00;0,00;0,00;5005,49944;5001,31231;5007,26072;5002,9602;
19:32:15:132;0;3600;25;-0,00;0,00;0,00;5005,48844;5001,32115;5007,25495;5002,95909;
19:32:16:132;0;3600;25;-0,00;0,00;0,00;5005,49383;5001,31075;5007,25633;5002,96847;
19:32:17:150;0;3600;25;-0,00;0,00;0,00;5005,48963;5001,32179;5007,25712;5002,95764;
19:32:18:183;0;3600;25;-0,00;0,00;0,00;5005,48698;5001,313;5007,25887;5002,96603;
19:32:19:186;0;3600;25;-0,00;0,00;0,00;5005,48307;5001,3272;5007,25939;5002,96346;
19:32:20:208;0;3600;25;-0,00;0,00;0,00;5005,49022;5001,31604;5007,26225;5002,96581;
19:32:21:428;0;3600;25;-0,00;0,00;0,00;5005,47995;5001,32526;5007,26579;5002,96222;
19:32:22:240;0;3600;25;-0,00;0,00;0,00;5005,48117;5001,32504;5007,26857;5002,95909;
19:32:23:255;0;3600;25;-0,00;0,00;0,00;5005,48014;5001,32917;5007,26672;5002,96324;
19:32:24:287;0;3600;25;-0,00;0,00;0,00;5005,4861;5001,32916;5007,26549;5002,96148;
19:32:25:274;0;3600;25;-0,00;0,00;0,00;5005,47962;5001,32306;5007,26245;5002,96373;
19:32:26:291;0;3600;25;-0,00;0,00;0,00;5005,46958;5001,31704;5007,26184;5002,95955;
19:32:27:292;0;3600;25;-0,00;0,00;0,00;5005,4842;5001,31988;5007,26339;5002,95947;
19:32:28:313;0;3600;25;-0,00;0,00;0,00;5005,48341;5001,31041;5007,25818;5002,95782;
19:32:29:311;0;3600;25;-0,00;0,00;0,00;5005,49027;5001,32229;5007,25727;5002,96273;
19:32:30:343;0;3600;25;-0,00;0,00;0,00;5005,49296;5001,32056;5007,25662;5002,96454;
19:32:31:363;0;3600;25;-0,00;0,00;0,00;5005,48844;5001,32693;5007,26432;5002,96229;
19:32:32:395;0;3600;25;-0,00;0,00;0,00;5005,48105;5001,32905;5007,25604;5002,96765;
19:32:33:381;0;3600;25;-0,00;0,00;0,00;5005,49703;5001,32958;5007,26604;5002,95447;
19:32:34:382;0;3600;25;-0,00;0,00;0,00;5005,48578;5001,32526;5007,26206;5002,95867;
19:32:35:415;0;3600;25;-0,00;0,00;0,00;5005,49129;5001,33058;5007,26353;5002,95619;
19:32:36:433;0;3600;25;-0,00;0,00;0,00;5005,48793;5001,31427;5007,263;5002,95601;
